iter	Logloss
0	0.639579157
1	0.5952407409
2	0.5585865004
3	0.5246696773
4	0.4972998296
5	0.4728299709
6	0.4534596053
7	0.4372324927
8	0.4212564501
9	0.4104311958
10	0.3999555476
11	0.3920151662
12	0.3826040845
13	0.3744746627
14	0.3673784398
15	0.3615861106
16	0.3558999364
17	0.3508287582
18	0.3466950796
19	0.3431102753
20	0.3395126656
21	0.3366123016
22	0.3339451943
23	0.3313313518
24	0.3293745097
25	0.3277910004
26	0.3262460049
27	0.3242347633
28	0.3227514754
29	0.3214663411
30	0.3202211708
31	0.3192220907
32	0.3179945163
33	0.3167193007
34	0.3157850858
35	0.3151550178
36	0.3145244981
37	0.3135786135
38	0.3129325371
39	0.3124326725
40	0.3120307449
41	0.3113919008
42	0.3107605204
43	0.3103997242
44	0.3100514542
45	0.3097483505
46	0.3094350983
47	0.309165936
48	0.3088536253
49	0.3084113859
50	0.3079980667
51	0.3076628343
52	0.3074847797
53	0.3071879462
54	0.3070572291
55	0.3067491212
56	0.3066020796
57	0.3064643269
58	0.3062113363
59	0.3059945496
60	0.30587651
61	0.305689494
62	0.3055075519
63	0.3054121557
64	0.3053176678
65	0.3052228058
66	0.3050387653
67	0.3048797182
68	0.3048026261
69	0.3046777517
70	0.3045611037
71	0.3044829272
72	0.3043567763
73	0.3042844455
74	0.3041674578
75	0.3041054897
76	0.3040462178
77	0.3039078623
78	0.3038129883
79	0.3037482412
80	0.3036558648
81	0.3036036971
82	0.3035487372
83	0.3035003398
84	0.3034506507
85	0.3033839624
86	0.3033071727
87	0.3032091768
88	0.3031576677
89	0.3031128414
90	0.3030667832
91	0.3029998388
92	0.3029632268
93	0.302886044
94	0.3028206115
95	0.3027380504
96	0.3026756514
97	0.3026391641
98	0.3025994197
99	0.3025304228
100	0.3024976166
101	0.3024677973
102	0.3024244225
103	0.3023869502
104	0.3023187086
105	0.3022595522
106	0.3022163669
107	0.302151936
108	0.3021165283
109	0.3020821567
110	0.3020280174
111	0.3019692061
112	0.3019272266
113	0.3018830516
114	0.3018555053
115	0.3018163923
116	0.301789568
117	0.3017583335
118	0.3017258772
119	0.3016971681
120	0.3016758295
121	0.3016449156
122	0.3016127737
123	0.3015648973
124	0.3015443023
125	0.3015029199
126	0.3014838573
127	0.3014552728
128	0.3014147668
129	0.3013879853
130	0.301363833
131	0.3013247642
132	0.3012859354
133	0.3012475875
134	0.3012225262
135	0.3011872022
136	0.3011557629
137	0.301129502
138	0.3010961702
139	0.3010745768
140	0.3010439036
141	0.3010177527
142	0.3009951127
143	0.3009697621
144	0.3009404805
145	0.3009136099
146	0.3008899072
147	0.300866637
148	0.3008398012
149	0.300816326
150	0.3007976944
151	0.3007648377
152	0.3007370318
153	0.3007137256
154	0.3006944514
155	0.3006787341
156	0.3006574615
157	0.3006345986
158	0.3006232679
159	0.3005990764
160	0.3005720006
161	0.300553134
162	0.3005268792
163	0.3005118374
164	0.3004871732
165	0.3004629276
166	0.3004399958
167	0.3004238027
168	0.3003982785
169	0.3003722016
170	0.3003484424
171	0.3003276751
172	0.3003092392
173	0.3002924955
174	0.3002779817
175	0.3002625621
176	0.3002489159
177	0.3002361622
178	0.300219213
179	0.3001982737
180	0.3001867244
181	0.3001698897
182	0.300155468
183	0.3001447446
184	0.3001246331
185	0.3001012673
186	0.3000816415
187	0.3000631579
188	0.3000489785
189	0.3000344334
190	0.3000154955
191	0.3000057123
192	0.2999957585
193	0.2999772531
194	0.2999600405
195	0.2999396834
196	0.2999205018
197	0.2998959752
198	0.2998751027
199	0.2998601648
200	0.2998416386
201	0.2998288326
202	0.2998158031
203	0.2998043223
204	0.2997834372
205	0.2997633055
206	0.2997546393
207	0.2997444364
208	0.2997326094
209	0.2997195629
210	0.2996908383
211	0.2996777563
212	0.2996568013
213	0.2996393953
214	0.2996262322
215	0.2996147165
216	0.2995992844
217	0.2995838905
218	0.2995653202
219	0.2995474787
220	0.2995362653
221	0.2995217565
222	0.2995049539
223	0.2994936985
224	0.299478054
225	0.2994657608
226	0.2994544089
227	0.2994412265
228	0.2994246368
229	0.2994114613
230	0.2994013622
231	0.2993911406
232	0.2993723902
233	0.2993643916
234	0.2993463238
235	0.2993351545
236	0.2993249017
237	0.2993106844
238	0.2992962754
239	0.2992818
240	0.2992693627
241	0.2992533156
242	0.2992390962
243	0.2992277948
244	0.2992071127
245	0.2991964285
246	0.2991812746
247	0.2991698104
248	0.2991614545
249	0.2991485153
250	0.299137006
251	0.2991267225
252	0.2991167305
253	0.299098191
254	0.2990868873
255	0.2990760975
256	0.2990639827
257	0.299053283
258	0.2990410154
259	0.2990333558
260	0.2990148567
261	0.2990051799
262	0.2989937048
263	0.2989703123
264	0.2989573878
265	0.2989379431
266	0.2989261407
267	0.2989185526
268	0.2989046947
269	0.2988964263
270	0.298884673
271	0.2988764329
272	0.2988598693
273	0.2988498034
274	0.298832646
275	0.2988211129
276	0.2988059555
277	0.2987906099
278	0.2987748998
279	0.2987613432
280	0.2987524597
281	0.298739232
282	0.2987257604
283	0.2987092032
284	0.2986956718
285	0.2986835755
286	0.2986740494
287	0.298666233
288	0.2986532128
289	0.2986391898
290	0.2986299096
291	0.2986165845
292	0.2986004792
293	0.2985910678
294	0.2985855038
295	0.2985761702
296	0.2985618323
297	0.2985537676
298	0.2985342723
299	0.2985255734
