iter	Passed	Remaining
0	184	55073
1	233	34743
2	287	28475
3	344	25511
4	410	24191
5	459	22509
6	515	21597
7	573	20939
8	623	20145
9	672	19508
10	728	19152
11	778	18687
12	827	18259
13	876	17897
14	925	17588
15	988	17550
16	1035	17243
17	1086	17023
18	1133	16762
19	1181	16535
20	1223	16258
21	1263	15967
22	1303	15702
23	1340	15416
24	1376	15139
25	1415	14921
26	1458	14751
27	1499	14565
28	1541	14401
29	1588	14294
30	1636	14201
31	1683	14099
32	1736	14051
33	1789	14002
34	1836	13908
35	1876	13763
36	1915	13616
37	1959	13510
38	2009	13450
39	2083	13543
40	2180	13772
41	2250	13824
42	2294	13711
43	2339	13613
44	2384	13514
45	2433	13439
46	2480	13352
47	2531	13292
48	2577	13202
49	2621	13105
50	2666	13019
51	2719	12971
52	2767	12899
53	2810	12802
54	2853	12708
55	2897	12623
56	2937	12522
57	2976	12418
58	3015	12318
59	3054	12218
60	3093	12119
61	3131	12021
62	3186	11987
63	3224	11889
64	3263	11799
65	3305	11718
66	3346	11639
67	3387	11555
68	3428	11476
69	3468	11395
70	3508	11317
71	3549	11239
72	3591	11168
73	3634	11098
74	3680	11040
75	3730	10994
76	3771	10921
77	3815	10859
78	3871	10830
79	3925	10796
80	3978	10756
81	4032	10719
82	4082	10673
83	4129	10618
84	4173	10556
85	4219	10500
86	4266	10444
87	4304	10370
88	4347	10307
89	4393	10252
90	4454	10230
91	4495	10164
92	4540	10106
93	4593	10067
94	4641	10015
95	4690	9966
96	4734	9909
97	4836	9970
98	4900	9948
99	4966	9932
100	5029	9909
101	5099	9898
102	5153	9856
103	5207	9814
104	5254	9759
105	5299	9698
106	5358	9665
107	5420	9636
108	5466	9578
109	5508	9515
110	5551	9451
111	5604	9407
112	5653	9356
113	5710	9316
114	5763	9272
115	5816	9226
116	5865	9174
117	5918	9128
118	5968	9077
119	6014	9022
120	6060	8964
121	6106	8909
122	6156	8860
123	6203	8804
124	6248	8748
125	6299	8698
126	6350	8650
127	6394	8592
128	6439	8536
129	6493	8490
130	6543	8441
131	6595	8393
132	6648	8348
133	6692	8290
134	6738	8235
135	6783	8179
136	6825	8120
137	6869	8063
138	6911	8004
139	6951	7944
140	7000	7894
141	7049	7843
142	7097	7792
143	7146	7741
144	7189	7684
145	7230	7626
146	7275	7572
147	7319	7517
148	7366	7465
149	7414	7414
150	7464	7366
151	7514	7317
152	7559	7262
153	7598	7203
154	7642	7149
155	7683	7092
156	7732	7042
157	7790	7001
158	7837	6950
159	7882	6896
160	7927	6844
161	7969	6789
162	8008	6731
163	8055	6680
164	8104	6630
165	8148	6577
166	8197	6528
167	8244	6478
168	8304	6437
169	8364	6396
170	8416	6349
171	8463	6298
172	8523	6256
173	8570	6206
174	8616	6154
175	8660	6101
176	8701	6046
177	8748	5996
178	8797	5946
179	8844	5896
180	8887	5843
181	8932	5791
182	8974	5737
183	9014	5682
184	9052	5627
185	9103	5579
186	9150	5529
187	9205	5484
188	9258	5437
189	9312	5391
190	9379	5352
191	9440	5310
192	9510	5272
193	9553	5219
194	9594	5166
195	9641	5115
196	9691	5067
197	9744	5020
198	9794	4970
199	9837	4918
200	9883	4868
201	9920	4812
202	9964	4761
203	9998	4705
204	10072	4667
205	10144	4629
206	10218	4590
207	10277	4545
208	10372	4516
209	10419	4465
210	10470	4416
211	10516	4365
212	10559	4312
213	10601	4260
214	10644	4208
215	10694	4159
216	10741	4108
217	10786	4057
218	10838	4008
219	10892	3960
220	10943	3911
221	10993	3862
222	11043	3813
223	11085	3761
224	11133	3711
225	11174	3658
226	11218	3607
227	11258	3555
228	11305	3505
229	11343	3452
230	11380	3399
231	11421	3347
232	11459	3295
233	11496	3242
234	11540	3191
235	11583	3141
236	11633	3092
237	11706	3049
238	11741	2996
239	11784	2946
240	11834	2897
241	11879	2847
242	11919	2795
243	11954	2743
244	11992	2692
245	12028	2640
246	12063	2588
247	12099	2537
248	12139	2486
249	12182	2436
250	12235	2388
251	12280	2339
252	12361	2296
253	12444	2253
254	12516	2208
255	12570	2160
256	12620	2111
257	12668	2062
258	12717	2013
259	12759	1962
260	12804	1913
261	12854	1864
262	12904	1815
263	12949	1765
264	13009	1718
265	13055	1668
266	13103	1619
267	13152	1570
268	13197	1520
269	13244	1471
270	13289	1422
271	13343	1373
272	13397	1325
273	13440	1275
274	13481	1225
275	13519	1175
276	13556	1125
277	13594	1075
278	13637	1026
279	13679	977
280	13717	927
281	13755	877
282	13795	828
283	13837	779
284	13877	730
285	13916	681
286	13951	631
287	13985	582
288	14023	533
289	14063	484
290	14103	436
291	14151	387
292	14194	339
293	14233	290
294	14268	241
295	14302	193
296	14336	144
297	14371	96
298	14406	48
299	14441	0
